Artist,Total Views,Total Subscribers,Avg
Justin Timberlake,"6,105.6",1200000000.0,1.14
Thalia,"6,024.0",1200000000.0,1.07
Travis Scott,"6,007.9",1400000000.0,1.37
Sidhu Moose Wala,"5,992.2",1800000000.0,5.75
Lil Baby,"5,916.0",1800000000.0,3.23
Jass Manak,"5,887.3",1500000000.0,1.51
Inna,"5,866.9",1500000000.0,1.42
Cartel de Santa,"5,816.6",1800000000.0,2.08
Patati Patatá,"5,791.6",1300000000.0,2.34
Maiara & Maraisa,"5,785.9",1200000000.0,1.96
Red Hot Chili Peppers,"5,764.1",1200000000.0,1.59
Calibre 50,"5,736.5",1500000000.0,2.26
Haschak Sisters,"5,670.8",1600000000.0,0.5
Bon Jovi,"5,623.1",900000000.0,1.46
Myke Towers,"5,616.2",1100000000.0,2.45
Mark Ronson,"5,591.5",300000000.0,1.22
Pentatonix,"5,583.6",1300000000.0,0.55
Wisin,"5,578.5",1200000000.0,0.96
Camila Cabello,"5,571.8",1200000000.0,0.86
Nio García,"5,471.4",800000000.0,0.92
Avril Lavigne,"5,456.0",1600000000.0,1.04
Metallica,"5,430.2",700000000.0,1.59
Juan Gabriel,"5,426.8",1100000000.0,1.51
Lana Del Rey,"5,409.7",1200000000.0,1.72
Hariharan,"5,345.6",800000000.0,4.08
Yasmin Verissimo,"5,341.8",1500000000.0,2.46
Manuel Turizo,"5,332.8",1000000000.0,2.93
Ricardo Arjona,"5,268.8",800000000.0,1.77
Kodak Black,"5,246.1",1300000000.0,1.73
Lil Nas X,"5,200.8",1000000000.0,1.32
MC Kevinho,"5,188.9",1200000000.0,0.25
Marc Anthony,"5,173.6",1300000000.0,1.5
Luan Santana,"5,164.4",1400000000.0,1.81
Wisin & Yandel,"5,158.6",1400000000.0,1.87
Sean Paul,"5,116.4",1100000000.0,1.48
G-Eazy,"5,114.2",800000000.0,0.92
Akon,"5,107.6",900000000.0,1.82
Camilo,"5,094.4",1400000000.0,1.38
Jessie J,"5,083.8",900000000.0,0.66
Madonna,"5,062.4",1100000000.0,1.76
Lil Wayne,"5,050.1",800000000.0,1.14
Mohamed Ramadan,"5,007.8",800000000.0,0.84
Carlos Vives,"4,959.3",600000000.0,1.12
Tyga,"4,941.1",700000000.0,1.0
Whitney Houston,"4,918.7",1000000000.0,1.89
Kygo,"4,910.1",1100000000.0,1.0
Hillsong Worship,"4,831.7",1000000000.0,2.16
Macklemore & Ryan Lewis,"4,823.8",800000000.0,0.62
Girls' Generation,"4,708.2",1000000000.0,0.72
Aventura,"4,707.8",1600000000.0,2.14
Jul,"4,703.4",400000000.0,1.75
Khalid,"4,662.6",1000000000.0,0.88
LMFAO,"4,657.4",500000000.0,0.55
Jesse & Joy,"4,655.9",1000000000.0,1.04
Plan B,"4,624.1",1300000000.0,1.25
Maná,"4,607.0",1400000000.0,1.43
Flo Rida,"4,604.6",1000000000.0,0.83
Machine Gun Kelly,"4,552.1",1000000000.0,1.21
Grupo Firme,"4,523.1",1400000000.0,3.74
ZAYN,"4,503.5",500000000.0,0.86
Simone & Simaria,"4,482.7",900000000.0,0.86
Sech,"4,477.6",1100000000.0,1.1
Doja Cat,"4,476.9",1500000000.0,2.26
Rahat Fateh Ali Khan,"4,475.0",1000000000.0,1.74
Adexe & Nau,"4,462.8",800000000.0,0.42
Usher,"4,458.7",1300000000.0,1.21
Nirvana,"4,453.9",700000000.0,1.38
Lil Pump,"4,440.7",1100000000.0,0.31
Jubin Nautiyal,"4,428.7",600000000.0,1.27
Saad Lamjarred,"4,331.2",1000000000.0,0.97
Kanye West,"4,329.4",1500000000.0,1.0
Pablo Alborán,"4,326.3",1100000000.0,1.04
Silvestre Dangond,"4,290.6",700000000.0,0.95
Rosalía,"4,287.7",600000000.0,2.25
Kenshi Yonezu,"4,252.9",1200000000.0,1.49
Stray Kids,"4,250.8",800000000.0,3.8
El Chombo,"4,197.4",100000000.0,1.39
Rammstein,"4,193.3",1200000000.0,1.71
Illslick,"4,188.8",900000000.0,1.27
Backstreet Boys,"4,175.1",900000000.0,1.48
Meet Bros,"4,173.8",1200000000.0,1.08
Elissa,"4,124.0",600000000.0,1.86
Kevin Roldan,"4,076.2",1100000000.0,1.03
Pop Smoke,"4,065.6",800000000.0,1.66
Gorillaz,"4,064.4",1000000000.0,1.14
Harry Styles,"4,049.7",900000000.0,2.26
Passenger,"4,033.4",100000000.0,0.62
Morat,"4,011.3",800000000.0,2.38
Dhanush,"4,002.0",500000000.0,1.68
Hussain Al Jassmi,"3,984.0",700000000.0,1.3
Zion & Lennox,"3,964.3",700000000.0,1.17
Rae Sremmurd,"3,933.3",900000000.0,0.36
Hungria Hip Hop,"3,866.4",1300000000.0,1.54
Halsey,"3,864.1",800000000.0,0.91
NCT,"3,809.6",900000000.0,1.17
Monkan Kankoon,"3,792.6",1000000000.0,1.79
